from,to,distance
214,10,0.182
214,276,0.182
286,10,0.182
286,276,0.182
10,270,1.44
10,145,1.44
276,270,1.44
276,145,1.44
238,329,1.185
238,35,1.185
82,329,1.185
82,35,1.185
270,192,0.628
270,188,0.628
145,192,0.628
145,188,0.628
187,238,0.714
187,82,0.714
248,238,0.714
248,82,0.714
192,1,0.549
192,19,0.549
188,1,0.549
188,19,0.549
280,187,1.278
280,248,1.278
166,187,1.278
166,248,1.278
1,242,0.651
1,12,0.651
19,242,0.651
19,12,0.651
242,98,0.445
242,310,0.445
12,98,0.445
12,310,0.445
204,280,0.448
204,166,0.448
171,280,0.448
171,166,0.448
98,218,0.589
98,61,0.589
310,218,0.589
310,61,0.589
284,204,0.588
284,171,0.588
277,204,0.588
277,171,0.588
218,285,0.888
218,78,0.888
61,285,0.888
61,78,0.888
158,216,0.753
158,198,0.753
131,216,0.753
131,198,0.753
285,158,0.379
285,131,0.379
78,158,0.379
78,131,0.379
137,284,2.099
137,277,2.099
301,284,2.099
301,277,2.099
216,109,0.895
216,25,0.895
198,109,0.895
198,25,0.895
109,169,0.319
109,355,0.319
25,169,0.319
25,355,0.319
209,137,0.96
209,301,0.96
39,137,0.96
39,301,0.96
169,94,0.813
169,133,0.813
355,94,0.813
355,133,0.813
243,209,1.13
243,39,1.13
46,209,1.13
46,39,1.13
94,23,0.587
94,334,0.587
133,23,0.587
133,334,0.587
23,6,0.346
23,58,0.346
334,6,0.346
334,58,0.346
93,243,0.45
93,46,0.45
184,243,0.45
184,46,0.45
101,93,1.233
101,184,1.233
290,93,1.233
290,184,1.233
11,93,1.233
11,184,1.233
246,93,1.233
246,184,1.233
6,318,1.873
58,318,1.873
318,196,0.348
318,57,0.348
326,101,1.343
326,290,1.343
326,11,1.343
326,246,1.343
21,101,1.343
21,290,1.343
21,11,1.343
21,246,1.343
320,326,0.941
320,21,0.941
72,326,0.941
72,21,0.941
196,256,0.942
196,178,0.942
57,256,0.942
57,178,0.942
256,314,0.847
256,271,0.847
178,314,0.847
178,271,0.847
317,320,0.73
317,72,0.73
29,320,0.73
29,72,0.73
5,320,0.73
5,72,0.73
255,49,0.252
49,347,1.965
172,342,2.371
347,173,2.881
100,172,2.875
173,328,5.355
328,294,0.586
328,245,0.586
331,100,5.382
294,165,2.183
245,165,2.183
